point,doc
10,취향저격 제대로 당함 넘 멋진 영화였음ㅠㅠㅠ
10,볼거리는충분한거같아요
4,진짜 1을 정말 재미있게 본사람으로서 말합니다정말 쓸데없이 말은 많고 욕이 정말 개연성없이 많이 나와요액션도 1보다는 못한거같아요 근데 마지막장면보고 3는 정말기대될거같아요
5,알맹이 없는 두시간짜리 아동용 만화 고양이는 귀여움 다른 캐릭터는 무매력
2,영화 끝날때까지 줄거리 이해가 안갔어요..
10,삭스가 우주룰 구한다.... 귀여움으로 지구 뿌셔 ♥ 내 심장 뿌셔 ㅋㅋㅋㅋ 크리스에반스 목소리 덕분에 넘 즐거웠어요!!
10,.
10,지금 여기서 행복해지자
6,열정이 참 대단하네..
10,"박수 받는 이유가 있다!!지금 한국에 <버려지는 아이들>만큼 무겁고 현실적인 소재도 없을 것이다.  아이들이 버려지고, 학대 받고, 살해당하는 사건들이 지속되고 있음에도 멈추기는 커녕 뉴스에서는 또 또 또..이 영화는 각 캐릭터들의 존재 자체가 가슴을 먹먹하게 만든다. 영화 너무 재미있게 봤고 배우들의 연기도 훌륭하다. 감독이 <베이비박스>를 소재로 영화를 만든 거 자체가 대단하다는 생각을 했다."
10,삭스만으로 충분ㅋㅋㅋ삭스 보러 또 보러 갈거임ㅋㅋㅋ
2,소림축구 생각났다^_^
1,지루하네ㅡㅡ걍 김다미로 이어지는거로 만들었으면 좋았잖아 에휴
2,솔찍히 전개가 제대로 이루어지지도않은 느낌그냥 평가로하자면  마녀1편은 장편소설을  영화로 축소해서 잘 표현했다 생각한다면 마녀2편은 단편소설을  쓸내용이 없어서 늘려놓은 느낌 그냥 죽이기만하는 액션을 위한다면 강추 하지만 스토리까지 원한다면 비추  진짜 재미없음
10,동심 자극하는 우주 모험극! 버즈 행복하자!
7,박훈정의 X맨 블러드 워터파크
10,영상이 넘 저아여!!! 영화가 주는 교훈도 짱짱
1,제발 애들보는 애니메이션에까지 PC쳐 넣지 좀 마.
10,적당한 유머요소들과 디즈니픽사 특유의 감성이 좋았습니다
4,"마녀1을 거의 다섯번, 여섯번 봤는데 ㅡ기대를 너무해서 그런가요. ㅠ 지루했어요."
4,"마녀1을 거의 다섯번, 여섯번 봤는데 ㅡ기대를 너무해서 그런가요. ㅠ 지루했어요."
10,우주 비행 멋있네요 -_-b
5,모든 세상사람들이 피노키오처럼 거짓말 하면 코가 늘어난다면 참 볼만한 세상이겠다...ㅋㅋ
9,적당히 재밌움
10,감사합니다 잘봤습니다
10,버즈를 다시 볼 수 있어서 행복할뿐♥
10,마동석배우님 근육귀요미올만에 꿀잼 영화봤어요.
10,모든 캐릭터들이귀여웠던 영화!
9,"어릴 적 처음으로 가장 높은 점수를 주었던 영화... 시간이 흘러 다시 보며 분명 실컷 웃었는데 마음이 너무 아리다. 보이지 않았던 것들이 보였다. 옛날, 함께 보면서 눈물을 흘리던 아빠의 모습이 떠올라 다시는 이 영화를 또 볼 수 없을 것만 같았다. 시간이 흐르고 나도 많이 흘러왔구나... 편견과 악의라는 사람들의 본질 사이에 숭고한 이타심과 사랑을 알려준 내 추억의 명화. 오랜만에 전화한 아빠가 잘 지내고 있어? 어떻게 지냈는지 궁금했잖아라고 하셨던 말에 눈물이 핑"
10,마녀 1 cable tv로 4번 정도 봐서 엄청 기대하고 봤는데 마녀1 정도의 임팩트는 없지만 역쉬~~~!!! 재미있습니다40대 중반인데... 마녀1을 너무 재미있게 봐서 마녀2를 극장에 혼자 가게 만드는 영화~~
2,"정말 실망스러워요.. 각본이 잘못됬습니다. 배우들이 하나같이 대사가 ㅅㅂ, 새끼야.  밖에 할줄아는 단어가 없나요? 욕이시른게아니라 너무 억지 대본에 책읽는 느낌.. 눈살찢부려지는? 마녀액션 좋았지만 신시아 배우분의 캐릭터 설정이 선넘은 초인이네요 차라리 마블을 하지? 라는생각이 드네요 마녀1만이 가지고있는 매력과 느낌이 없어져버렸네요"
10,액션 진짜 미쳤네 ㅎㄷㄷ끝에 10분 김다미 임펙트 개쪄네요~
10,간만에 너무너무 즐거웠던 시간이였네요 추억이 새록새록^^
4,영화 보는 내내 지겨워 ... 마지막 10분 정도만 몰입이 됨
5,기대보다는 별로였다
6,너무 기대가 컸던걸까.. 음..
10,일단 첫승합차씬 CG는 완성본이 맞나 싶을정도로  초등생이 봐도 어색한 CG였습니다. 덱스터가 참여한것같은데..어떻게 이런CG가 나온건지 의하합니다. 시간이 꽤 있었음에도 실망스러웠습니다.이런류의 영화는 현실속에는 없기때문에 CG가 얼마나 자연스러운가에 달려있다고 생각합니다.어벤져스의 그것은 아니더라도 장난같은 어색한 CG는 아닌듯합니다. 후반부의 야간에 이루어지는 신은 한국영화에서는 보기드분 압도적인 장면들이었습니다. 특시 마녀2를 기다렸던 사람들이 기대했던 그 압도적인 무언가를 감독님이 정확히 읽고 그대로 구현된듯했습니다. 입이 떡벌어지는 장면 들이었습니다. 물론 슈퍼맨 맨오브스틸 같은 CG를 연상시키지만. 그것보다는 그분위기가 압도적이어서 좋았습니다. 장면은 새로운것이 없을지라도 분위기만큼은 정말 압도적이었습니다.  그리고 마지막에 등장.. 1편과 자연스럽게 연결되는것들이 .. 그럼에도 이시리즈의 3편을 또 기대하게 만듭니다. 제발 흥행이 어느정도 성공해서 꼭 3편도 보기를 희망합니다. 3년이나 기다려왔으니까요.  조금씩 성장해가는 한국 SF영화르 기대해 봅니다. 꼭 성공해서 세계적인 시리즈가 되기를 기대해 봅니다.
10,처음부터 끝까지 시간 가는 줄 모르고 관람... 액션영화답게 액션 하나는 끝내준다
10,난 재밌는데..왜  그런거지
10,볼만합니다 cg 좋네요
10,와어찌 볼때 마다 재미 있니와 너 이거 아직도 안봤니?
10,손석구 연기ㅣ가 진짜 미쳤어요 이 영화 강츠ㅜ합니다
10,기대이상이였어요 너무 재밌게 봤어요^^
10,"마녀1을 보았던 분들에게는 확실한 재미와 서사, 액션을 볼 수 있음. 다만, 감독 연출이 예전보다는 좀 떨어짐....~! 그럼에도 불구하고, 이 영화는 3편을 반드시 봐야할 영화임~"
7,킬링타임용으로 저는 좋았습니다 ㅎㅎ 영화관에서 영화를 볼 수 있다는 것만으로 감사하면서 보니 즐거웠어요
10,
9,마녀2는 화끈한 액션에 몰빵한 느낌마녀3가 빨리 나왔으면 좋겠습니다.
9,1편의 연장이라기 보단 제목대로 다른 마녀의 스토리라 1편의 팬인 사람들은 기대에 못미쳐서 아쉬울 수 있을듯. 그래도 2편 자체로는 재밌었어요. 3편을 위한 세계관을 만들고 스케일을 키우는 느낌
8,내용은 별로입니다액션은 끝내주네요..
6,이야기가 좀어렵다해야되나 ㅋㅋ총싸움씬에선 영웅본색찍는줄...  1보다는 별로임..그 중사 여자? 배우는 연기가..아휴..너무못함 ㅋ
6,"스토리, 연기등은 괜찮아요!  그러나 기대하지 마시고 관람하시길~~3편도 나올것 같네요!"
1,보지마세요 배우 대사 스토리 연기 다 부족합니다.. 돈주고 보기 아까워요
7,바짝 쪼아라.
10,저는 재밌게 봤습니다.
10,액션신 좋고 재미있었습니다.마녀3에서 떡밥들 다 회수되겠죠?
10,한란국에서 이정도 스케일이 나올 줄은 멀랐음..감동이고 액션씬 탑이다
1,"그대가 조국 , 그댓가 좋국"
2,하.. 박감독님 실망이 말이 아니에요
2,"걍 돈남고 시간남는 사람들 보면좋을듯..스토리도 그지같고, 초반 스타렉스 씬에서  CG 는 반도 수준임 ㅎㅎ"
10,몰입도가 장난 아니에요 시간 가는줄 모르고 봤네요 재밋었어요!!!
7,형만한 아우가 없지만 그래도 쏘쏘..
2,장유정 감독님께서 전라남도 여수?
10,와~ 애니로 보는 우주의 장대함~
6,"부모로서 아이들에게 보여주는 게 너무 고민되고, 망설여지는 건 어쩔 수 없네요.. ㅠㅠ 그래서 아쉬워요.. 우리 어릴 적 디즈니와 픽사는 너무 좋았는데.."
10,액션씬도 화려하고 유머도 있고 재미있다
10,실화라 더 감동있어요~
7,.
10,"걸작 sf인 감독의 전작(컨텍트)가 이 영화를 위한 예행연습처럼 느껴질 정도. 영상, 음악, 스토리, 연기 모든 면에서 우뚝 선 영화적 체험을 경험하게 해준다. 거기다 저변에 흐르는 그 쓸쓸한 정서까지. 숨도 못쉬고 본 몇 안되는 영화"
10,태어나서 영화리뷰 처음 남겨봄. 마녀1을 재밌게 봤고 그 포인트가 연출과 액션이었다면 더 재밌을거라고 확신함. part1 이후 4년 기다려서 기대많이 했는데 기대만큼 혹은 기대이상이었음
10,너무 재밌게 봤습니다 제 인생작으로 남을거 같습니다
1,연출 쓸데없이 지루하고 배우들 딕션이 너무 어색해서 영화에 몰입이 하나도 안됐어요.. 중간에 잤습니다... 중간에 영어욕 한글욕 쓸데없이 많이 들어가고 심지어 그 마저도 살지 않았어요.. 얼마 안 되는 웃음 포인트도 만들다 만 느낌.. 오랜만에 돈과 시간이 아까운 영화였어요 ㅠㅠ
2,아기가 순둥한 연기를 정말 잘해요 바로앞 관람객이 엄청  고개 떨구며 자는 모습만  두시간 지켜 봤네요
8,"너무 밸붕이라서 아쉽긴 하지만 악랄한 자에 맞서는 압도적인 물리적 힘의 타격감을 실감 나게 보여주는 것이 이 시리즈의 묘미 아닌가 싶네요. 여름철에 시원하게 잘 봤습니다. 기존에 피지컬한 형사와 부정의한 권력자가 대립하는 구도에서는 볼 수 없는, 날 것의 충돌 경험이 여전히 2번째 시리즈에도 유효하다는 걸 보여주었네요. 재밌습니다. 개인적으로 3편에서는 그나마 마석도에 조금  더 대적할 수 있는 강력한 빌런이 나오길 소망하면서 절대 지능형 범죄자나 권력형 범죄좌와의 대결 구도로 가진 않았으면 하네요. 공공의 적이 범죄자가 엘리트라는 점이 있었지만 그들의 대결 구도도 법의 테두리는 벗어난 싸움이었기에 흥미가 있었던 것처럼 이 시리즈는 방향을 잃지 않고 잘 갔으면 합니다. 빌런에 장혁 님이 딱일 것 같은데..."
